period,tarea,dhdt,err_dhdt,dvoldt,err_dvoldt,dmdt,err_dmdt,dmdtda,err_dmdtda,valid_obs,valid_obs_py,reg,perc_area_meas,perc_area_res,area_nodata,area
2015-01-01_2020-01-01,28502050000.0,-0.976,0.134,-27831155836.0,3822133326.0,-23.6565,3.6528,-0.83,0.128,8.68,3.39,17.0,0.915,0.925,120098000.0,29429320000.0
2000-01-01_2005-01-01,965400000.0,-0.225,0.153,-216803204.0,147870958.0,-0.1843,0.1264,-0.191,0.131,12.57,3.92,18.0,0.835,0.843,26790000.0,1161801000.0
2000-01-01_2020-01-01,905250000.0,-0.845,0.113,-765285716.0,102153866.0,-0.6505,0.0982,-0.719,0.109,64.25,15.58,18.0,0.835,0.843,26790000.0,1161801000.0
2005-01-01_2010-01-01,925350000.0,-0.722,0.162,-668364764.0,150076323.0,-0.5681,0.1337,-0.614,0.145,9.79,3.41,18.0,0.835,0.843,26790000.0,1161801000.0
2010-01-01_2015-01-01,885250000.0,-1.007,0.17,-891353139.0,149867595.0,-0.7577,0.1382,-0.856,0.156,15.5,3.96,18.0,0.835,0.843,26790000.0,1161801000.0
2015-01-01_2020-01-01,845150000.0,-1.52,0.249,-1284621756.0,209819850.0,-1.0919,0.1943,-1.292,0.23,26.39,4.29,18.0,0.835,0.843,26790000.0,1161801000.0
2000-01-01_2005-01-01,128024250000.0,-0.264,0.062,-33813841679.0,7877971150.0,-28.7418,6.9969,-0.225,0.055,3.05,2.0,19.0,0.92,0.924,537194000.0,132867219000.0
2000-01-01_2020-01-01,125333650000.0,-0.196,0.019,-24573803048.0,2322654088.0,-20.8877,2.4641,-0.167,0.02,15.42,8.19,19.0,0.92,0.924,537194000.0,132867219000.0
2005-01-01_2010-01-01,126230500000.0,-0.22,0.06,-27833688622.0,7546685744.0,-23.6586,6.6285,-0.187,0.053,2.78,1.61,19.0,0.92,0.924,537194000.0,132867219000.0
2010-01-01_2015-01-01,124436750000.0,-0.185,0.061,-22977549752.0,7586782721.0,-19.5309,6.5945,-0.157,0.053,4.34,1.83,19.0,0.92,0.924,537194000.0,132867219000.0
2015-01-01_2020-01-01,122643050000.0,-0.111,0.058,-13670132141.0,7098045218.0,-11.6196,6.0888,-0.095,0.05,5.25,2.75,19.0,0.92,0.924,537194000.0,132867219000.0
2000-01-01_2005-01-01,485698000000.0,-0.391,0.021,-189894238812.0,10057265064.0,-161.4101,9.6853,-0.332,0.02,7.32,3.28,20.0,0.976,0.983,442232000.0,483412458000.0
2000-01-01_2020-01-01,476827950000.0,-0.519,0.01,-247271595190.0,4461543864.0,-210.1809,7.0328,-0.441,0.015,40.76,14.13,20.0,0.976,0.983,442232000.0,483412458000.0
2005-01-01_2010-01-01,479784650000.0,-0.486,0.015,-233163926304.0,7265160872.0,-198.1893,8.2986,-0.413,0.017,7.44,3.22,20.0,0.976,0.983,442232000.0,483412458000.0
2010-01-01_2015-01-01,473871250000.0,-0.561,0.015,-265936925547.0,7012316597.0,-226.0464,8.7116,-0.477,0.018,11.36,3.54,20.0,0.976,0.983,442232000.0,483412458000.0
2015-01-01_2020-01-01,467957850000.0,-0.641,0.018,-300091290097.0,8166433041.0,-255.0776,10.1184,-0.545,0.022,14.63,4.1,20.0,0.976,0.983,442232000.0,483412458000.0
2000-01-01_2005-01-01,702335850000.0,-0.38,0.019,-266821898746.0,13126053712.0,-226.7986,12.4906,-0.323,0.018,7.29,3.13,21.0,0.967,0.973,999739000.0,705996743000.0
2000-01-01_2020-01-01,685257550000.0,-0.458,0.008,-313628044389.0,5307385431.0,-266.5838,7.9931,-0.389,0.012,39.21,13.28,21.0,0.967,0.973,999739000.0,705996743000.0
2005-01-01_2010-01-01,690950300000.0,-0.438,0.016,-302443243819.0,10666884402.0,-257.0768,11.0414,-0.372,0.016,7.04,2.98,21.0,0.967,0.973,999739000.0,705996743000.0
2010-01-01_2015-01-01,679564750000.0,-0.493,0.016,-334994263816.0,10544727615.0,-284.7451,11.4125,-0.419,0.017,10.99,3.28,21.0,0.967,0.973,999739000.0,705996743000.0
2015-01-01_2020-01-01,668179250000.0,-0.524,0.017,-350252771176.0,10980138246.0,-297.7149,12.1149,-0.446,0.018,13.89,3.89,21.0,0.967,0.973,999739000.0,705996743000.0
